Column1;col1;col2
405;u+0001f471;\xf0\x9f\x91\xb1
406;u+0001f472;\xf0\x9f\x91\xb2
407;u+0001f473;\xf0\x9f\x91\xb3
408;u+0001f474;\xf0\x9f\x91\xb4
409;u+0001f475;\xf0\x9f\x91\xb5
410;u+0001f476;\xf0\x9f\x91\xb6
411;u+0001f477;\xf0\x9f\x91\xb7
412;u+0001f478;\xf0\x9f\x91\xb8
413;u+0001f479;\xf0\x9f\x91\xb9
414;u+0001f47a;\xf0\x9f\x91\xba
415;u+0001f47b;\xf0\x9f\x91\xbb
416;u+0001f47c;\xf0\x9f\x91\xbc
417;u+0001f47d;\xf0\x9f\x91\xbd
418;u+0001f47e;\xf0\x9f\x91\xbe
419;u+0001f47f;\xf0\x9f\x91\xbf
420;u+0001f480;\xf0\x9f\x92\x80
421;u+0001f481;\xf0\x9f\x92\x81
422;u+0001f482;\xf0\x9f\x92\x82
423;u+0001f483;\xf0\x9f\x92\x83
424;u+0001f484;\xf0\x9f\x92\x84
425;u+0001f485;\xf0\x9f\x92\x85
426;u+0001f486;\xf0\x9f\x92\x86
427;u+0001f487;\xf0\x9f\x92\x87
428;u+0001f488;\xf0\x9f\x92\x88
429;u+0001f489;\xf0\x9f\x92\x89
430;u+0001f48a;\xf0\x9f\x92\x8a
431;u+0001f48b;\xf0\x9f\x92\x8b
432;u+0001f48c;\xf0\x9f\x92\x8c
433;u+0001f48d;\xf0\x9f\x92\x8d
434;u+0001f48e;\xf0\x9f\x92\x8e
435;u+0001f48f;\xf0\x9f\x92\x8f
436;u+0001f490;\xf0\x9f\x92\x90
437;u+0001f491;\xf0\x9f\x92\x91
438;u+0001f492;\xf0\x9f\x92\x92
439;u+0001f493;\xf0\x9f\x92\x93
440;u+0001f494;\xf0\x9f\x92\x94
441;u+0001f495;\xf0\x9f\x92\x95
442;u+0001f496;\xf0\x9f\x92\x96
443;u+0001f497;\xf0\x9f\x92\x97
444;u+0001f498;\xf0\x9f\x92\x98
445;u+0001f499;\xf0\x9f\x92\x99
446;u+0001f49a;\xf0\x9f\x92\x9a
447;u+0001f49b;\xf0\x9f\x92\x9b
448;u+0001f49c;\xf0\x9f\x92\x9c
449;u+0001f49d;\xf0\x9f\x92\x9d
450;u+0001f49e;\xf0\x9f\x92\x9e
451;u+0001f49f;\xf0\x9f\x92\x9f
452;u+0001f4a0;\xf0\x9f\x92\xa0
453;u+0001f4a1;\xf0\x9f\x92\xa1
454;u+0001f4a2;\xf0\x9f\x92\xa2
455;u+0001f4a3;\xf0\x9f\x92\xa3
456;u+0001f4a4;\xf0\x9f\x92\xa4
457;u+0001f4a5;\xf0\x9f\x92\xa5
458;u+0001f4a6;\xf0\x9f\x92\xa6
459;u+0001f4a7;\xf0\x9f\x92\xa7
460;u+0001f4a8;\xf0\x9f\x92\xa8
461;u+0001f4a9;\xf0\x9f\x92\xa9
462;u+0001f4aa;\xf0\x9f\x92\xaa
463;u+0001f4ab;\xf0\x9f\x92\xab
464;u+0001f4ac;\xf0\x9f\x92\xac
465;u+0001f4ad;\xf0\x9f\x92\xad
466;u+0001f4ae;\xf0\x9f\x92\xae
467;u+0001f4af;\xf0\x9f\x92\xaf
468;u+0001f4b0;\xf0\x9f\x92\xb0
469;u+0001f4b1;\xf0\x9f\x92\xb1
470;u+0001f4b2;\xf0\x9f\x92\xb2
471;u+0001f4b3;\xf0\x9f\x92\xb3
472;u+0001f4b4;\xf0\x9f\x92\xb4
473;u+0001f4b5;\xf0\x9f\x92\xb5
474;u+0001f4b6;\xf0\x9f\x92\xb6
475;u+0001f4b7;\xf0\x9f\x92\xb7
476;u+0001f4b8;\xf0\x9f\x92\xb8
477;u+0001f4b9;\xf0\x9f\x92\xb9
478;u+0001f4ba;\xf0\x9f\x92\xba
479;u+0001f4bb;\xf0\x9f\x92\xbb
480;u+0001f4bc;\xf0\x9f\x92\xbc
481;u+0001f4bd;\xf0\x9f\x92\xbd
482;u+0001f4be;\xf0\x9f\x92\xbe
483;u+0001f4bf;\xf0\x9f\x92\xbf
484;u+0001f4c0;\xf0\x9f\x93\x80
485;u+0001f4c1;\xf0\x9f\x93\x81
486;u+0001f4c2;\xf0\x9f\x93\x82
