,col1
794,u+0001f6c5
795,u+0001f6cc
796,u+0001f6d0
797,u+0001f6d1
798,u+0001f6d2
799,u+0001f6d5
800,u+0001f6d6
801,u+0001f6d7
802,u+0001f6dc
803,u+0001f6dd
804,u+0001f6de
805,u+0001f6df
806,u+0001f6eb
807,u+0001f6ec
808,u+0001f6f4
809,u+0001f6f5
810,u+0001f6f6
811,u+0001f6f7
812,u+0001f6f8
813,u+0001f6f9
814,u+0001f6fa
815,u+0001f6fb
816,u+0001f6fc
817,u+0001f7e0
818,u+0001f7e1
819,u+0001f7e2
820,u+0001f7e3
821,u+0001f7e4
822,u+0001f7e5
823,u+0001f7e6
824,u+0001f7e7
825,u+0001f7e8
826,u+0001f7e9
827,u+0001f7ea
828,u+0001f7eb
829,u+0001f7f0
830,u+0001f90c
831,u+0001f90d
832,u+0001f90e
833,u+0001f90f
834,u+0001f910
835,u+0001f911
836,u+0001f912
837,u+0001f913
838,u+0001f914
839,u+0001f915
840,u+0001f916
841,u+0001f917
842,u+0001f918
843,u+0001f919
844,u+0001f90a
845,u+0001f90b
846,u+0001f90c
847,u+0001f90d
848,u+0001f91e
849,u+0001f91f
850,u+0001f920
851,u+0001f921
852,u+0001f922
853,u+0001f923
854,u+0001f924
855,u+0001f925
856,u+0001f926
857,u+0001f927
858,u+0001f928
859,u+0001f929
860,u+0001f92a
861,u+0001f92b
862,u+0001f92c
863,u+0001f92d
864,u+0001f92e
865,u+0001f92f
866,u+0001f930
867,u+0001f931
868,u+0001f932
869,u+0001f933
870,u+0001f934
871,u+0001f935
872,u+0001f936
873,u+0001f937
874,u+0001f938
875,u+0001f939
876,u+0001f93a
877,u+0001f93c
878,u+0001f93d
879,u+0001f93e
880,u+0001f93f
881,u+0001f940
882,u+0001f941
883,u+0001f942
884,u+0001f943
885,u+0001f944
886,u+0001f945
887,u+0001f947
888,u+0001f948
889,u+0001f949
890,u+0001f94a
891,u+0001f94b
892,u+0001f94c
893,u+0001f94d
894,u+0001f94e
895,u+0001f94f
896,u+0001f950
897,u+0001f951
898,u+0001f952
899,u+0001f953
900,u+0001f954
901,u+0001f955
902,u+0001f956
903,u+0001f957
904,u+0001f958
905,u+0001f959
906,u+0001f95a
907,u+0001f95b
908,u+0001f95c
909,u+0001f95d
910,u+0001f95e
911,u+0001f95f
912,u+0001f96b
913,u+0001f96c
914,u+0001f96d
915,u+0001f96e
916,u+0001f96f
917,u+0001f970
918,u+0001f971
919,u+0001f972
920,u+0001f973
921,u+0001f974
922,u+0001f975
923,u+0001f976
924,u+0001f977
925,u+0001f978
926,u+0001f979
927,u+0001f97a
928,u+0001f97b
929,u+0001f97c
930,u+0001f97d
931,u+0001f97e
932,u+0001f97f
933,u+0001f980
934,u+0001f981
935,u+0001f982
936,u+0001f983
937,u+0001f984
938,u+0001f985
939,u+0001f986
940,u+0001f987
941,u+0001f988
942,u+0001f989
943,u+0001f98a
944,u+0001f98b
945,u+0001f98c
946,u+0001f98d
947,u+0001f98e
948,u+0001f98f
949,u+0001f990
950,u+0001f991
951,u+0001f992
952,u+0001f993
953,u+0001f994
954,u+0001f995
955,u+0001f996
956,u+0001f997
957,u+0001f998
958,u+0001f999
959,u+0001f99a
960,u+0001f99b
961,u+0001f99c
962,u+0001f99d
963,u+0001f99e
964,u+0001f99f
965,u+0001f9a0
966,u+0001f9a1
967,u+0001f9a2
968,u+0001f9a3
969,u+0001f9a4
970,u+0001f9a5
971,u+0001f9a6
972,u+0001f9a7
973,u+0001f9a8
974,u+0001f9a9
975,u+0001f9aa
976,u+0001f9ab
977,u+0001f9ac
978,u+0001f9ad
979,u+0001f9ae
980,u+0001f9af
981,u+0001f9b0
982,u+0001f9b1
983,u+0001f9b2
984,u+0001f9b3
985,u+0001f9b4
986,u+0001f9b5
987,u+0001f9b6
988,u+0001f9b7
989,u+0001f9b8
990,u+0001f9b9
991,u+0001f9ba
992,u+0001f9bb
993,u+0001f9bc
994,u+0001f9bd
995,u+0001f9be
996,u+0001f9bf
997,u+0001f9c0
998,u+0001f9c1
999,u+0001f9c2
1000,u+0001f9c3
1001,u+0001f9c4
1002,u+0001f9c5
1003,u+0001f9c6
1004,u+0001f9c7
1005,u+0001f9c8
1006,u+0001f9c9
1007,u+0001f9ca
1008,u+0001f9cb
1009,u+0001f9cc
1010,u+0001f9cd
1011,u+0001f9ce
1012,u+0001f9cf
1013,u+0001f9d0
1014,u+0001f9d1
1015,u+0001f9d2
1016,u+0001f9d3
1017,u+0001f9d4
1018,u+0001f9d5
1019,u+0001f9d6
1020,u+0001f9d7
1021,u+0001f9d8
1022,u+0001f9d9
1023,u+0001f9da
1024,u+0001f9db
1025,u+0001f9dc
1026,u+0001f9dd
1027,u+0001f9de
1028,u+0001f9df
1029,u+0001f9e0
1030,u+0001f9e1
1031,u+0001f9e2
1032,u+0001f9e3
1033,u+0001f9e4
1034,u+0001f9e5
1035,u+0001f9e6
1036,u+0001f9e7
1037,u+0001f9e8
1038,u+0001f9e9
1039,u+0001f9ea
1040,u+0001f9eb
1041,u+0001f9ec
1042,u+0001f9ed
1043,u+0001f9ee
1044,u+0001f9ef
1045,u+0001f9f0
1046,u+0001f9f1
1047,u+0001f9f2
1048,u+0001f9f3
1049,u+0001f9f4
1050,u+0001f9f5
1051,u+0001f9f6
1052,u+0001f9f7
1053,u+0001f9f8
1054,u+0001f9f9
1055,u+0001f9fa
1056,u+0001f9fb
1057,u+0001f9fc
1058,u+0001f9fd
1059,u+0001f9fe
1060,u+0001f9ff
1061,u+0001fa70
1062,u+0001fa71
1063,u+0001fa72
1064,u+0001fa73
1065,u+0001fa74
1066,u+0001fa75
1067,u+0001fa76
1068,u+0001fa77
1069,u+0001fa78
1070,u+0001fa79
1071,u+0001fa7a
1072,u+0001fa7b
1073,u+0001fa7c
1074,u+0001fa80
1075,u+0001fa81
1076,u+0001fa82
1077,u+0001fa83
1078,u+0001fa84
1079,u+0001fa85
1080,u+0001fa86
1081,u+0001fa87
1082,u+0001fa88
1083,u+0001fa90
1084,u+0001fa91
1085,u+0001fa92
1086,u+0001fa93
1087,u+0001fa94
1088,u+0001fa95
1089,u+0001fa96
1090,u+0001fa97
1091,u+0001fa98
1092,u+0001fa99
1093,u+0001fa9a
1094,u+0001fa9b
1095,u+0001fa9c
1096,u+0001fa9d
1097,u+0001fa9e
1098,u+0001fa9f
1099,u+0001faa0
1100,u+0001faa1
1101,u+0001faa2
1102,u+0001faa3
1103,u+0001faa4
1104,u+0001faa5
1105,u+0001faa6
1106,u+0001faa7
1107,u+0001faa8
1108,u+0001faa9
1109,u+0001faaa
1110,u+0001faab
1111,u+0001faac
1112,u+0001faad
1113,u+0001faae
1114,u+0001faaf
1115,u+0001fab0
1116,u+0001fab1
1117,u+0001fab2
1118,u+0001fab3
1119,u+0001fab4
1120,u+0001fab5
1121,u+0001fab6
1122,u+0001fab7
1123,u+0001fab8
1124,u+0001fab9
1125,u+0001faba
1126,u+0001fabb
1127,u+0001fabc
1128,u+0001fabd
1129,u+0001fabf
1130,u+0001fac0
1131,u+0001fac1
1132,u+0001fac2
1133,u+0001fac3
1134,u+0001fac4
1135,u+0001fac5
1136,u+0001face
1137,u+0001facf
1138,u+0001fad0
1139,u+0001fad1
1140,u+0001fad2
1141,u+0001fad3
1142,u+0001fad4
1143,u+0001fad5
1144,u+0001fad6
1145,u+0001fad7
1146,u+0001fad8
1147,u+0001fad9
1148,u+0001fada
1149,u+0001fadb
1150,u+0001fae0
1151,u+0001fae1
1152,u+0001fae2
1153,u+0001fae3
1154,u+0001fae4
1155,u+0001fae5
1156,u+0001fae6
1157,u+0001fae7
1158,u+0001fae8
1159,u+0001faf0
1160,u+0001faf1
1161,u+0001faf2
1162,u+0001faf3
1163,u+0001faf4
1164,u+0001faf5
1165,u+0001faf6
1166,u+0001faf7
1167,u+0001faf8
1168,u+000000a9
1169,u+000000a9u+0000fe0f
1170,u+000000ae
1171,u+000000aeu+0000fe0f
1172,u+0000203c
1173,u+0000203cu+0000fe0f
1174,u+00002049
1175,u+00002049u+0000fe0f
1176,u+00002122
1177,u+00002122u+0000fe0f
1178,u+00002139
1179,u+00002139u+0000fe0f
1180,u+00002194
1181,u+00002194u+0000fe0f
1182,u+00002195
1183,u+00002195u+0000fe0f
1184,u+00002196
